,Unnamed: 0,POPESTIMATE2019,FIPS
865,865,16338,19121.0
866,866,22095,19123.0
867,867,33253,19125.0
868,868,39369,19127.0
869,869,15109,19129.0
870,870,10586,19131.0
871,871,8615,19133.0
872,872,7707,19135.0
873,873,9917,19137.0
874,874,42664,19139.0
875,875,13753,19141.0
876,876,5958,19143.0
877,877,15107,19145.0
878,878,8886,19147.0
879,879,25177,19149.0
880,880,6619,19151.0
881,881,490161,19153.0
882,882,93206,19155.0
883,883,18504,19157.0
884,884,4894,19159.0
885,885,9721,19161.0
886,886,172943,19163.0
887,887,11454,19165.0
888,888,34855,19167.0
889,889,97117,19169.0
890,890,16854,19171.0
891,891,6121,19173.0
892,892,12241,19175.0
893,893,7044,19177.0
894,894,34969,19179.0
895,895,51466,19181.0
896,896,21965,19183.0
897,897,6441,19185.0
898,898,35904,19187.0
899,899,10354,19189.0
900,900,19991,19191.0
901,901,103107,19193.0
902,902,7381,19195.0
903,903,12562,19197.0
904,904,2913314,20000.0
905,905,12369,20001.0
906,906,7858,20003.0
907,907,16073,20005.0
908,908,4427,20007.0
909,909,25779,20009.0
910,910,14534,20011.0
911,911,9564,20013.0
912,912,66911,20015.0
913,913,2648,20017.0
914,914,3250,20019.0
915,915,19939,20021.0
916,916,2657,20023.0
917,917,1994,20025.0
918,918,8002,20027.0
919,919,8786,20029.0
920,920,8179,20031.0
921,921,1700,20033.0
922,922,34908,20035.0
923,923,38818,20037.0
924,924,2827,20039.0
925,925,18466,20041.0
926,926,7600,20043.0
927,927,122259,20045.0
928,928,2798,20047.0
929,929,2530,20049.0
930,930,28553,20051.0
931,931,6102,20053.0
932,932,36467,20055.0
933,933,33619,20057.0
934,934,25544,20059.0
935,935,31670,20061.0
936,936,2636,20063.0
937,937,2482,20065.0
938,938,7150,20067.0
939,939,5988,20069.0
940,940,1232,20071.0
941,941,5982,20073.0
942,942,2539,20075.0
943,943,5436,20077.0
944,944,34429,20079.0
945,945,3968,20081.0
946,946,1794,20083.0
947,947,13171,20085.0
948,948,19043,20087.0
949,949,2879,20089.0
950,950,602401,20091.0
951,951,3838,20093.0
952,952,7152,20095.0
953,953,2475,20097.0
954,954,19618,20099.0
955,955,1535,20101.0
956,956,81758,20103.0
957,957,2962,20105.0
958,958,9703,20107.0
959,959,2794,20109.0
960,960,33195,20111.0
961,961,28542,20113.0
962,962,11884,20115.0
963,963,9707,20117.0
964,964,4033,20119.0
965,965,34237,20121.0
966,966,5979,20123.0
967,967,31829,20125.0
968,968,5620,20127.0
969,969,2587,20129.0
970,970,10231,20131.0
971,971,16007,20133.0
972,972,2750,20135.0
973,973,5361,20137.0
974,974,15949,20139.0
975,975,3421,20141.0
976,976,5704,20143.0
