,Unnamed: 0,Unnamed: 0.1,POPESTIMATE2019,FIPS,beta,f
186,2321,2321,369318,42077.0,7.392413940749117e-07,0.05526711940456517
187,2322,2322,317417,42079.0,8.391045773209458e-07,0.08146876618891627
188,2327,2327,170271,42089.0,1.342221884593957e-06,0.08200115239960822
189,2328,2328,830915,42091.0,3.001769210872073e-07,0.144644105847389
190,2330,2330,305285,42095.0,8.242773684263555e-07,0.07332246797795443
191,2333,2333,1584064,42101.0,1.8252901853338548e-07,0.10021425973066588
192,2347,2347,348899,42129.0,6.807703582608451e-07,0.14992548910736378
193,2354,2354,638931,44007.0,5.634414336625905e-07,0.06450431298018318
194,2379,2379,523542,45045.0,4.5160981600594064e-07,0.07501114077820284
195,2396,2396,415759,45079.0,6.050232970184821e-07,0.06176108937874966
196,2489,2489,694144,47037.0,3.4962699064092074e-07,0.020636853094343426
