,POPESTIMATE2019,FIPS,beta,f,cost
390,44417,12121.0,1.2039307801540535e-05,0.007200372728332021,0.8929984006259666
392,15237,12125.0,6.692109198536291e-06,0.00023994440604592493,6.35078460000122e-08
393,553284,12127.0,4.919699232747961e-07,0.008397068240681184,4.6741409553193325
394,33739,12129.0,1.0525689202628489e-05,0.024744088865480747,0.11301609846998448
395,74071,12131.0,1.286306375242397e-06,0.0017985938511144578,1.1222447374345135e-05
396,25473,12133.0,2.64004119437477e-06,6.456778022330412e-05,4.192704625210271e-09
398,18386,13001.0,5.343337625966182e-06,0.0002301493557022305,6.20587512372018e-08
400,11164,13005.0,1.9712041718832233e-05,0.044498349321404354,0.1060249772507669
401,3038,13007.0,1.9302382893099424e-05,0.04928670825217915,2.3535669183963224
402,44890,13009.0,6.422250046076469e-06,0.03502654528808386,0.36394978717210413
403,19234,13011.0,5.303984228658304e-06,0.0002148559810249695,5.756014872577643e-08
404,83240,13013.0,1.3437203102836704e-05,8.626828426472333e-05,2.235586076318617
405,107738,13015.0,2.6727191331933976e-06,0.040932644819080696,26.477037523995484
406,16700,13017.0,1.1566493855467103e-05,9.346055696551892e-06,2.186287877178956e-09
407,19397,13019.0,8.973336033260495e-06,7.740713456626247e-05,2.778931539702667e-08
408,153159,13021.0,1.4834105592242748e-06,0.03345874926425789,0.2439056943275423
409,12873,13023.0,9.427179945956434e-06,2.119804024215688e-05,7.790134122008678e-10
411,15457,13027.0,1.9784040461756032e-05,0.04476210558095889,3.482105624584908
412,39627,13029.0,7.293395772988359e-06,0.049870949401215336,0.863037630810261
413,79608,13031.0,3.963454029753121e-06,0.048822473175968106,0.09739106650744202
414,22383,13033.0,1.3108092591734656e-05,0.039027000144645566,0.17777809650576126
415,24936,13035.0,1.7747575748810418e-05,0.0005111957229823327,0.07562829543687316
416,6189,13037.0,1.975778030812982e-05,0.045743241199083864,2.0488620095772037
417,54666,13039.0,4.4211318269784687e-07,0.0005881866531950927,1.8928562827239546e-07
418,10803,13043.0,1.274188107377304e-05,1.0241630453600159e-05,2.836271484457213e-10
419,119992,13045.0,1.4450992271835806e-05,0.00011699661829712993,2.230386643436769
420,67580,13047.0,5.0463404290581855e-08,0.018651440935893184,0.0001440684657667768
421,13392,13049.0,5.246394310485112e-06,0.00016909156332677033,7.986425478557379e-08
422,289430,13051.0,1.1537404984420316e-06,0.021995822273770213,5.575188928274591
423,10907,13053.0,5.480698352119036e-06,4.25753485539665e-05,1.486937754050168e-09
424,24789,13055.0,9.171690529766808e-06,0.04989798456074121,0.1463183754942475
425,258773,13057.0,1.3735496625729432e-05,3.5016684996835856e-05,4.889450822383081
426,128331,13059.0,2.481940791690254e-06,0.02436263579552509,25.569232585570173
427,2834,13061.0,1.8545067975641015e-05,0.04787841997098782,1.4148115126715706
