,FIPS,POPESTIMATE2019,RBIRTH2019,RDEATH2019,PCTPOVALL_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,popdensity,pct_blk,pct_asian,pct_native,pct_white,beta,f
70,22005,126604,13.38572031,7.372883377999999,10.8,4.1,77758.0,161.925,492.39536,0.28580907573587,0.00687629862585012,0.000526188293218297,0.665665255605515,1.8803898480418149e-06,0.12568785444890668
71,22017,240204,12.55390374,11.34074615,22.4,5.5,40467.0,84.2694,1338.06684091304,0.569604580031598,0.00755872955648015,0.00358356821137798,0.396495952995546,1.0083602971782844e-06,0.130954050701946
72,22019,203436,14.24942144,10.08329788,14.9,3.8,50531.0,105.2269,536.360416,0.214469973800372,0.0096080532771999,0.00431255615434205,0.7467644633145779,1.1739521838754723e-06,0.13917995644726755
73,22033,440059,13.01187938,8.846898994,16.7,4.3,52945.0,110.2538,1662.20716590909,0.43314290528562205,0.0242178719600127,0.00145898509325555,0.518788285438041,6.184314911592202e-07,0.16155351454179212
74,22047,32511,10.76621066,9.600637998,23.8,6.2,47917.0,99.7834,94.6827833333333,0.485091075138324,0.00125401706484921,0.00116323656029351,0.505285437586758,7.443570836015077e-06,0.13058639536091068
75,22051,432493,12.87430299,10.0302755,15.6,4.4,50871.0,105.9349,4154.29497878788,0.229479916112323,0.0351947853758052,0.00477450969063017,0.684654825775336,6.191905259750797e-07,0.12410875515141236
76,22057,97614,11.73854137,9.274265702000001,16.6,4.7,52651.0,109.6416,149.724742538462,0.104583436343164,0.00800186132757312,0.0211130824600933,0.8172856091602341,2.386477994734365e-06,0.11726855646741455
77,22089,53100,10.7863046,8.425029516,12.8,4.4,67585.0,140.7405,543.11707,0.27907755086205,0.00834237433708418,0.00129753727423071,0.689253054951167,4.267176239243116e-06,0.11721371367822166
78,22095,42837,12.42496161,9.795709432999999,18.2,5.7,50830.0,105.8495,358.56126,0.6037352108576229,0.00347866874889756,0.0006570302233902769,0.374971989875104,5.558348236422607e-06,0.16788863934818488
79,22097,82124,13.47434296,12.33429954,32.7,6.2,36624.0,76.2666,123.404855,0.41070123993165597,0.00174055879480464,0.00034391149975126296,0.566114897331629,2.6319104942562413e-06,0.3636485345338473
80,22103,260419,10.8862117,9.347020179,11.8,4.2,67054.0,139.6347,555.8799195,0.0979772434021656,0.011436239625803998,0.00433557265197984,0.86072890041461,9.379488165248735e-07,0.16978811399475818
81,22109,110461,13.31083276,10.15233007,17.3,5.0,51665.0,107.5883,224.279996666667,0.14492985077203197,0.00439473623629784,0.0811163130963932,0.7448316573563059,1.9696274575804303e-06,0.12528383111589925
82,23005,295003,9.227486767,9.20030713,8.2,2.7,71586.0,128.8004,1169.7183044898,0.0209561599296155,0.0148283078785017,0.00195614973794127,0.9382458256765659,7.497693831699729e-07,0.09155916275841257
83,24003,579234,11.74619422,8.072694082,7.0,3.3,97051.0,116.8219,1685.46025581395,0.139650775933089,0.0272031950320944,0.0017699482923731,0.780487470252247,4.322672389490247e-07,0.09236078780263224
84,24005,827370,11.59718686,10.39251971,9.9,4.0,75836.0,91.2851,1896.78528148148,0.19152105968070998,0.0734040844012604,0.0017792346865346399,0.7085133018590799,3.0778935398295496e-07,0.07376634076013107
85,24013,168447,9.877819158,9.592710728,6.0,3.2,95956.0,115.5039,317.991354,0.0290238491061257,0.0150085212553543,0.0013369974684256801,0.934956985602943,1.31481279085637e-06,0.20713711772281546
86,24017,163257,11.37549926,7.168966505,6.6,3.9,92616.0,111.4835,588.253976666667,0.255721881106528,0.0180904516866013,0.0104130804532631,0.6554304090992379,1.372290376694383e-06,0.122091948884704
87,24021,259547,11.13335536,7.226573889,6.2,3.5,95196.0,114.5891,646.412997,0.04347629394187601,0.0255277757690105,0.00117131833169935,0.896564342811844,9.526034229024714e-07,0.10128913892642286
88,24031,1050688,11.66177425,6.044305215,6.9,3.2,107758.0,129.7101,4076.7849533333297,0.150484928616445,0.125049475647149,0.00231696980021544,0.6222373042010729,2.3042053349243213e-07,0.09317890918975616
89,24033,909327,13.20325067,7.5340334460000005,8.3,4.1,82445.0,99.2405,3400.3309661194,0.643131615419211,0.0404204321783504,0.00469320399361603,0.206514576547863,2.902252445759532e-07,0.0779268207483427
90,24510,593490,12.63448705,11.49395493,18.9,5.7,50501.0,60.7889,10812.5255861111,0.559067868335985,0.0349406238853216,0.0025766803994184398,0.361663017577084,4.4530719464101886e-07,0.09874129492699624
91,25003,124944,7.91723973,11.64065459,11.3,4.0,58375.0,73.136,191.889111216216,0.0154663968820773,0.00905288832243715,0.0020196965191420302,0.944282827392816,-1.4756057908346328e-05,336.9512168910266
92,25005,565217,10.0964395,9.540347238999999,10.8,4.3,66005.0,82.6954,2330.32424285714,0.0314413743417834,0.0181892923115797,0.0011045151602133698,0.88296375402758,4.81669049180832e-07,0.1113401747954341
93,25009,789034,10.91162472,8.807919265,10.7,3.4,76373.0,95.6851,3038.2469517857103,0.0345057049099178,0.0338860824896324,0.0018752147919277602,0.8328316818424091,3.5092341118210664e-07,0.11577787909849865
94,25011,70180,7.472068527,9.986433792,10.6,3.0,58992.0,73.9091,183.0705511,0.00907431635493418,0.0120464421567046,0.0025893571085503,0.9519271283637741,3.1611454146441845e-06,0.2606316726651832
95,25013,466372,10.63802473,9.705164962000001,16.7,4.6,52682.0,66.0035,2593.70443647059,0.0876951116809505,0.0173736657922487,0.0024062338089075198,0.7950973522707979,5.996214283185892e-07,0.23783162753572265
96,25015,160830,6.062695477,8.112582267,11.1,3.0,74456.0,93.2834,915.930058888889,0.0217572697220292,0.0314024579684847,0.0026621524666189896,0.919961656863143,1.5187198638744263e-06,0.10333881895538508
97,25017,1611699,10.40628613,7.397748378999999,7.3,2.7,100374.0,125.7552,4750.75851028038,0.0397454549994637,0.0999530299075696,0.0013652398609559,0.8097403171329141,1.6614109776098767e-07,0.12493367265191099
98,25021,706775,10.13897114,8.34465126,6.5,3.0,100184.0,125.5171,3136.5978600000003,0.0558813623835799,0.0872804579125854,0.000924061675639975,0.8231329915698481,3.3908476763770053e-07,0.15369483560540342
99,25023,521202,9.951674836,9.151385501,6.2,3.5,89678.0,112.3545,1116.524435,0.0464384150382897,0.0109502217235072,0.00131171316412694,0.899620330805111,5.510400753809387e-07,0.1340234132663103
100,25025,803907,11.47316767,6.483914044,17.5,3.0,68743.0,86.1258,22319.8587058824,0.13365220246119502,0.160413285026239,0.00223083313649512,0.61204499932676,2.3620160706251002e-07,0.04827433768103684
101,25027,830622,10.2610389,8.851125159,9.0,3.5,71767.0,89.9144,1383.49636663366,0.0410052666437391,0.0311103671572151,0.00194836093520389,0.8774051189524391,3.1028958835892825e-07,0.09742290847281043
102,26049,405813,11.32306299,11.21721696,18.8,4.9,48370.0,85.399,1194.91232666667,0.23929962767649102,0.0064695293465024,0.00350333962625788,0.7174868664638578,6.833443388241208e-07,0.27433905025191857
103,26081,656955,13.18319017,7.350960272999999,11.3,3.0,61675.0,108.8895,2271.38093958333,0.0960933776362402,0.0273367787257992,0.00388457197420844,0.8130021411639309,3.651197174619766e-07,0.05392549486229017
104,26087,87607,8.57982772,10.16362062,10.1,5.2,65209.0,115.1289,152.542520833333,0.0169421931898246,0.00258571734471437,0.00285901264806848,0.9550620457794058,2.699654009540964e-06,0.28171429402070514
105,26099,873972,10.45588794,9.787224055,11.0,4.0,62191.0,109.8005,2928.351125,0.0953808648313093,0.0323427186165832,0.0024096345076734,0.8430118028916981,3.213814033470293e-07,0.2580388043874087
106,26125,1257584,10.37435001,8.732526793,8.2,3.3,80319.0,141.8061,2298.6053159090898,0.13232909808638602,0.0624336423918803,0.00248609571458324,0.7691310858621759,2.1816008298173474e-07,0.21652693793924396
107,26145,190539,11.47562479,11.21338473,17.0,4.8,48805.0,86.167,651.417973043478,0.157860847814479,0.00848368063977455,0.00264236269093303,0.792082023871603,1.3681862687619957e-06,0.1863663872159579
108,26161,367601,9.423620646,6.642390827000001,15.0,3.0,72267.0,127.59,1405.8452442105302,0.0817596815234032,0.0770178319098377,0.00255077514313937,0.7961581705892901,6.446069235764454e-07,0.10030218401587616
